tenant_as,total_holds,unique_prefixes,avg_hold_sec,median_hold_sec,min_hold_sec,max_hold_sec,in_pingpong_chain,typical_hold
272940,2,1,181.5,181.5,29.0,334.0,True,1-5min
63915,2,1,380.5,380.5,0.0,761.0,True,5-30min
394844,2,1,68151.0,68151.0,11895.0,124407.0,True,2-24hr
131618,2,2,0.0,0.0,0.0,0.0,False,
55569,2,2,17796.0,17796.0,17796.0,17796.0,False,2-24hr
64047,2,2,26713.0,26713.0,1.0,53425.0,False,2-24hr
19750,2,2,12943.0,12943.0,12943.0,12943.0,False,2-24hr
21887,2,2,3.0,3.0,3.0,3.0,False,<1min
275674,2,1,49458.5,49458.5,0.0,98917.0,True,2-24hr
21491,2,1,1.5,1.5,1.0,2.0,True,<1min
394284,2,1,3343.0,3343.0,762.0,5924.0,True,30min-2hr
27065,2,1,0.0,0.0,0.0,0.0,True,
131613,2,1,14.5,14.5,1.0,28.0,True,<1min
21144,2,2,7.5,7.5,5.0,10.0,False,<1min
65002,2,1,47719.0,47719.0,2.0,95436.0,True,2-24hr
393417,2,2,39820.0,39820.0,39820.0,39820.0,False,2-24hr
131516,2,2,54818.0,54818.0,54818.0,54818.0,False,2-24hr
27759,2,2,1121.0,1121.0,3.0,2239.0,False,5-30min
136501,2,1,10.0,10.0,4.0,16.0,True,<1min
17623,2,1,58902.5,58902.5,10219.0,107586.0,True,2-24hr
1257,2,2,60578.0,60578.0,60578.0,60578.0,False,2-24hr
29527,2,1,4.0,4.0,3.0,5.0,True,<1min
134930,2,1,12993.5,12993.5,0.0,25987.0,True,2-24hr
396583,2,1,13945.0,13945.0,12378.0,15512.0,True,2-24hr
28615,2,2,8.0,8.0,8.0,8.0,False,<1min
28511,2,2,145379.0,145379.0,145379.0,145379.0,False,>24hr
133118,2,1,58971.5,58971.5,10363.0,107580.0,True,2-24hr
25773,2,1,6.0,6.0,0.0,12.0,True,<1min
327795,2,1,2983.0,2983.0,8.0,5958.0,True,30min-2hr
153523,2,2,15211.0,15211.0,15211.0,15211.0,False,2-24hr
17755,2,2,96834.0,96834.0,96834.0,96834.0,False,>24hr
132116,2,2,0.0,0.0,0.0,0.0,False,
58448,2,1,16648.5,16648.5,27.0,33270.0,True,2-24hr
272432,2,1,30069.5,30069.5,1125.0,59014.0,True,2-24hr
28414,2,2,45382.0,45382.0,44638.0,46126.0,False,2-24hr
60840,2,1,29.0,29.0,21.0,37.0,True,<1min
141452,2,1,0.0,0.0,0.0,0.0,True,
1649,1,1,0.0,0.0,0.0,0.0,False,
6206,1,1,30.0,30.0,30.0,30.0,True,<1min
4200005925,1,1,51173.0,51173.0,51173.0,51173.0,False,2-24hr
4538,1,1,2752.0,2752.0,2752.0,2752.0,False,30min-2hr
1031,1,1,16838.0,16838.0,16838.0,16838.0,False,2-24hr
5,1,1,7551.0,7551.0,7551.0,7551.0,False,2-24hr
270152,1,1,10.0,10.0,10.0,10.0,False,<1min
12,1,1,39.0,39.0,39.0,39.0,False,<1min
210,1,1,51476.0,51476.0,51476.0,51476.0,False,2-24hr
396615,1,1,10.0,10.0,10.0,10.0,True,<1min
270430,1,1,4851.0,4851.0,4851.0,4851.0,False,30min-2hr
3910,1,1,474.0,474.0,474.0,474.0,False,5-30min
3917,1,1,86882.0,86882.0,86882.0,86882.0,False,>24hr
396576,1,1,15512.0,15512.0,15512.0,15512.0,True,2-24hr
396567,1,1,10.0,10.0,10.0,10.0,True,<1min
396566,1,1,213.0,213.0,213.0,213.0,False,1-5min
395257,1,1,51357.0,51357.0,51357.0,51357.0,False,2-24hr
3215,1,1,4089.0,4089.0,4089.0,4089.0,False,30min-2hr
394851,1,1,90.0,90.0,90.0,90.0,False,1-5min
268819,1,1,257.0,257.0,257.0,257.0,False,1-5min
268162,1,1,1.0,1.0,1.0,1.0,False,<1min
394745,1,1,340.0,340.0,340.0,340.0,False,5-30min
2386,1,1,30.0,30.0,30.0,30.0,False,<1min
680,1,1,9.0,9.0,9.0,9.0,False,<1min
267919,1,1,35562.0,35562.0,35562.0,35562.0,False,2-24hr
4515,1,1,89.0,89.0,89.0,89.0,False,1-5min
399257,1,1,25.0,25.0,25.0,25.0,False,<1min
18186,1,1,430.0,430.0,430.0,430.0,False,5-30min
265041,1,1,20.0,20.0,20.0,20.0,False,<1min
30936,1,1,120403.0,120403.0,120403.0,120403.0,False,>24hr
55824,1,1,3.0,3.0,3.0,3.0,False,<1min
56057,1,1,46191.0,46191.0,46191.0,46191.0,False,2-24hr
28469,1,1,61.0,61.0,61.0,61.0,False,1-5min
57858,1,1,51.0,51.0,51.0,51.0,False,<1min
57962,1,1,103893.0,103893.0,103893.0,103893.0,False,>24hr
28438,1,1,715.0,715.0,715.0,715.0,False,5-30min
58461,1,1,16438.0,16438.0,16438.0,16438.0,False,2-24hr
60159,1,1,234.0,234.0,234.0,234.0,False,1-5min
28032,1,1,75438.0,75438.0,75438.0,75438.0,False,2-24hr
62610,1,1,26150.0,26150.0,26150.0,26150.0,False,2-24hr
64013,1,1,1676.0,1676.0,1676.0,1676.0,False,5-30min
64512,1,1,123719.0,123719.0,123719.0,123719.0,False,>24hr
65000,1,1,15.0,15.0,15.0,15.0,False,<1min
65039,1,1,2.0,2.0,2.0,2.0,False,<1min
133465,1,1,19760.0,19760.0,19760.0,19760.0,False,2-24hr
25192,1,1,168.0,168.0,168.0,168.0,False,1-5min
24757,1,1,33.0,33.0,33.0,33.0,False,<1min
24364,1,1,19818.0,19818.0,19818.0,19818.0,False,2-24hr
24361,1,1,30855.0,30855.0,30855.0,30855.0,False,2-24hr
29802,1,1,1.0,1.0,1.0,1.0,False,<1min
55025,1,1,1.0,1.0,1.0,1.0,False,<1min
6453,1,1,64.0,64.0,64.0,64.0,False,1-5min
54970,1,1,97036.0,97036.0,97036.0,97036.0,False,>24hr
40226,1,1,97035.0,97035.0,97035.0,97035.0,False,>24hr
40717,1,1,6.0,6.0,6.0,6.0,True,<1min
42240,1,1,82077.0,82077.0,82077.0,82077.0,False,2-24hr
42698,1,1,60809.0,60809.0,60809.0,60809.0,False,2-24hr
43531,1,1,2.0,2.0,2.0,2.0,True,<1min
36631,1,1,154.0,154.0,154.0,154.0,False,1-5min
36625,1,1,58.0,58.0,58.0,58.0,True,<1min
46168,1,1,158.0,158.0,158.0,158.0,False,1-5min
46887,1,1,30.0,30.0,30.0,30.0,False,<1min
47178,1,1,27.0,27.0,27.0,27.0,False,<1min
35947,1,1,760.0,760.0,760.0,760.0,False,5-30min
35415,1,1,471.0,471.0,471.0,471.0,False,5-30min
34530,1,1,88595.0,88595.0,88595.0,88595.0,False,>24hr
50611,1,1,30.0,30.0,30.0,30.0,False,<1min
33651,1,1,10.0,10.0,10.0,10.0,False,<1min
31898,1,1,0.0,0.0,0.0,0.0,False,
54069,1,1,35490.0,35490.0,35490.0,35490.0,False,2-24hr
30943,1,1,5742.0,5742.0,5742.0,5742.0,False,30min-2hr
54925,1,1,97035.0,97035.0,97035.0,97035.0,False,>24hr
24348,1,1,30855.0,30855.0,30855.0,30855.0,False,2-24hr
24162,1,1,147.0,147.0,147.0,147.0,False,1-5min
135377,1,1,29723.0,29723.0,29723.0,29723.0,False,2-24hr
135428,1,1,62812.0,62812.0,62812.0,62812.0,False,2-24hr
203963,1,1,18.0,18.0,18.0,18.0,False,<1min
16625,1,1,2079.0,2079.0,2079.0,2079.0,False,30min-2hr
205984,1,1,91.0,91.0,91.0,91.0,False,1-5min
208398,1,1,23.0,23.0,23.0,23.0,False,<1min
208555,1,1,228.0,228.0,228.0,228.0,False,1-5min
210329,1,1,124.0,124.0,124.0,124.0,False,1-5min
14536,1,1,62144.0,62144.0,62144.0,62144.0,False,2-24hr
211595,1,1,21145.0,21145.0,21145.0,21145.0,False,2-24hr
212066,1,1,19.0,19.0,19.0,19.0,False,<1min
212238,1,1,23397.0,23397.0,23397.0,23397.0,False,2-24hr
213035,1,1,120.0,120.0,120.0,120.0,False,1-5min
11918,1,1,0.0,0.0,0.0,0.0,False,
11427,1,1,861.0,861.0,861.0,861.0,False,5-30min
216357,1,1,13011.0,13011.0,13011.0,13011.0,False,2-24hr
9009,1,1,0.0,0.0,0.0,0.0,True,
8038,1,1,71942.0,71942.0,71942.0,71942.0,False,2-24hr
7609,1,1,10817.0,10817.0,10817.0,10817.0,False,2-24hr
262954,1,1,46939.0,46939.0,46939.0,46939.0,False,2-24hr
7536,1,1,0.0,0.0,0.0,0.0,False,
202021,1,1,411.0,411.0,411.0,411.0,False,5-30min
200010,1,1,0.0,0.0,0.0,0.0,False,
199829,1,1,111324.0,111324.0,111324.0,111324.0,False,>24hr
139923,1,1,164.0,164.0,164.0,164.0,False,1-5min
22727,1,1,106.0,106.0,106.0,106.0,False,1-5min
136943,1,1,57.0,57.0,57.0,57.0,False,<1min
137532,1,1,0.0,0.0,0.0,0.0,False,
138322,1,1,5.0,5.0,5.0,5.0,False,<1min
20249,1,1,135602.0,135602.0,135602.0,135602.0,False,>24hr
138915,1,1,0.0,0.0,0.0,0.0,False,
19693,1,1,90398.0,90398.0,90398.0,90398.0,False,>24hr
139067,1,1,113843.0,113843.0,113843.0,113843.0,False,>24hr
19165,1,1,111569.0,111569.0,111569.0,111569.0,False,>24hr
17561,1,1,21467.0,21467.0,21467.0,21467.0,False,2-24hr
18747,1,1,1219.0,1219.0,1219.0,1219.0,False,5-30min
141209,1,1,571.0,571.0,571.0,571.0,False,5-30min
18528,1,1,225.0,225.0,225.0,225.0,False,1-5min
149475,1,1,29.0,29.0,29.0,29.0,False,<1min
152098,1,1,4.0,4.0,4.0,4.0,True,<1min
153656,1,1,96169.0,96169.0,96169.0,96169.0,False,>24hr
196695,1,1,5520.0,5520.0,5520.0,5520.0,False,30min-2hr
198414,1,1,1.0,1.0,1.0,1.0,False,<1min
4200005926,1,1,51173.0,51173.0,51173.0,51173.0,False,2-24hr
